"","rid","答题开始时间","答题结束时间","答题时长","gender","rural","age","race","marriage","incomeFam","party","C1","C2","trustCourt","trustGover","trustLocal","X1a","X2a","X3a","X4a","X5a","X6a","X1b","X2b","X3b","X4b","X5b","X6b","M1__1","M2","M3","M4__1","M4__2","M4__3","M4__4","M4__5","M4__6","M5__1","M5__2","M5__3","M5__4","M6__1","M6__2","M6__3","M6__4"
"1",248894442,2024-05-06 17:41:15,2024-05-06 18:13:07,1899-12-31 00:31:52,2,1,37,1,2,17,4,3,8,3,3,2,NA,NA,NA,NA,NA,NA,1,2,3,4,2,4,6,1,1,2,3,2,3,3,3,2,2,2,1,2,2,3,3
"2",248894443,2024-05-06 21:42:38,2024-05-06 22:24:21,1899-12-31 00:41:43,1,1,36,1,2,17,4,3,7,3,3,3,NA,NA,NA,NA,NA,NA,2,3,4,4,3,3,8,1,1,3,3,4,3,4,3,3,4,4,2,3,4,3,3
"3",248894724,2024-05-06 17:44:07,2024-05-06 18:21:15,1899-12-31 00:37:08,2,2,44,1,2,21,4,2,6,4,4,3,1,2,3,2,3,3,NA,NA,NA,NA,NA,NA,9,1,1,2,2,2,2,2,3,4,4,3,4,3,4,3,4
"4",248894763,2024-05-06 20:52:40,2024-05-06 21:27:57,1899-12-31 00:35:17,2,1,30,1,2,3,1,3,6,3,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,9,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"5",248894982,2024-05-06 21:37:40,2024-05-06 22:14:13,1899-12-31 00:36:33,1,2,38,1,2,15,4,1,7,4,4,3,3,3,2,2,3,1,NA,NA,NA,NA,NA,NA,8,2,2,2,2,1,3,2,4,3,3,2,2,4,4,3,3
"6",248894984,2024-05-06 19:43:37,2024-05-06 20:25:45,1899-12-31 00:42:08,1,2,43,1,2,21,4,2,6,4,3,3,NA,NA,NA,NA,NA,NA,2,2,3,3,3,3,9,3,1,3,3,3,3,2,2,3,4,3,4,3,4,3,4
"7",248894997,2024-05-06 20:15:21,2024-05-06 20:47:03,1899-12-31 00:31:42,2,2,34,1,2,18,4,2,7,2,2,2,2,2,2,2,3,4,NA,NA,NA,NA,NA,NA,6,3,2,3,2,2,3,2,3,3,2,3,2,3,2,3,2
"8",248895087,2024-05-06 18:51:46,2024-05-06 19:27:49,1899-12-31 00:36:03,2,2,45,1,2,22,4,3,7,3,3,4,2,2,2,2,2,4,NA,NA,NA,NA,NA,NA,8,3,1,2,2,1,2,2,3,2,1,3,2,3,4,3,3
"9",248895218,2024-05-06 20:32:54,2024-05-06 21:11:06,1899-12-31 00:38:12,2,1,53,1,2,20,4,2,6,2,4,2,NA,NA,NA,NA,NA,NA,3,1,3,2,1,4,9,1,1,2,2,1,2,1,1,2,3,3,2,3,3,4,3
"10",248895237,2024-05-06 18:27:29,2024-05-06 19:07:40,1899-12-31 00:40:11,2,2,38,1,2,22,4,3,7,3,4,3,1,2,2,3,1,3,NA,NA,NA,NA,NA,NA,9,1,1,4,3,4,4,3,4,4,4,3,4,4,3,4,3
