"","rid","答题开始时间","答题结束时间","答题时长","gender","rural","age","race","marriage","incomeFam","party","C1","C2","trustCourt","trustGover","trustLocal","X1a","X2a","X3a","X4a","X5a","X6a","M1__1","M2","M3","M4__1","M4__2","M4__3","M4__4","M4__5","M4__6","M5__1","M5__2","M5__3","M5__4","M6__1","M6__2","M6__3","M6__4","m4","m5","m6"
"1",248894724,2024-05-06 17:44:07,2024-05-06 18:21:15,1899-12-31 00:37:08,2,2,44,1,2,21,4,2,6,4,4,3,1,2,3,2,3,3,9,1,1,2,2,2,2,2,3,4,4,3,4,3,4,3,4,2.16666666666667,3.75,3.5
"2",248894763,2024-05-06 20:52:40,2024-05-06 21:27:57,1899-12-31 00:35:17,2,1,30,1,2,3,1,3,6,3,3,3,2,2,2,2,2,2,9,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"3",248894982,2024-05-06 21:37:40,2024-05-06 22:14:13,1899-12-31 00:36:33,1,2,38,1,2,15,4,1,7,4,4,3,3,3,2,2,3,1,8,2,2,2,2,1,3,2,4,3,3,2,2,4,4,3,3,2.33333333333333,2.5,3.5
"4",248894997,2024-05-06 20:15:21,2024-05-06 20:47:03,1899-12-31 00:31:42,2,2,34,1,2,18,4,2,7,2,2,2,2,2,2,2,3,4,6,3,2,3,2,2,3,2,3,3,2,3,2,3,2,3,2,2.5,2.5,2.5
"5",248895087,2024-05-06 18:51:46,2024-05-06 19:27:49,1899-12-31 00:36:03,2,2,45,1,2,22,4,3,7,3,3,4,2,2,2,2,2,4,8,3,1,2,2,1,2,2,3,2,1,3,2,3,4,3,3,2,2,3.25
"6",248895237,2024-05-06 18:27:29,2024-05-06 19:07:40,1899-12-31 00:40:11,2,2,38,1,2,22,4,3,7,3,4,3,1,2,2,3,1,3,9,1,1,4,3,4,4,3,4,4,4,3,4,4,3,4,3,3.66666666666667,3.75,3.5
"7",248895254,2024-05-06 21:06:09,2024-05-06 21:44:08,1899-12-31 00:37:59,2,2,36,1,2,19,4,3,7,4,4,4,3,1,2,3,3,3,9,2,1,4,3,3,4,4,2,4,3,4,2,3,4,3,3,3.33333333333333,3.25,3.25
"8",248895269,2024-05-07 10:18:51,2024-05-07 10:48:19,1899-12-31 00:29:28,2,1,26,1,1,18,3,2,7,3,4,3,1,2,2,2,2,2,7,2,1,2,2,1,2,1,2,1,1,2,1,3,4,3,3,1.66666666666667,1.25,3.25
"9",248895563,2024-05-07 10:37:47,2024-05-07 11:08:40,1899-12-31 00:30:53,2,1,36,1,2,19,4,3,7,3,4,3,3,2,2,2,4,2,9,3,1,3,4,3,4,4,3,2,3,2,1,3,3,4,4,3.5,2,3.5
"10",248895712,2024-05-07 12:17:35,2024-05-07 12:43:58,1899-12-31 00:26:23,1,1,41,1,2,12,4,2,7,3,4,3,1,3,1,3,3,2,10,1,1,1,1,2,1,1,2,1,4,1,1,4,4,3,4,1.33333333333333,1.75,3.75
"11",248895827,2024-05-07 12:25:35,2024-05-07 12:50:55,1899-12-31 00:25:20,2,2,34,1,2,20,4,3,5,3,4,3,3,3,2,3,3,3,8,3,1,3,4,3,4,3,4,1,1,2,1,3,4,3,4,3.5,1.25,3.5
"12",248896018,2024-05-07 10:22:13,2024-05-07 10:54:11,1899-12-31 00:31:58,2,2,36,1,2,21,4,1,7,3,4,4,3,2,3,3,1,3,8,2,1,3,4,3,4,3,4,3,4,3,4,3,3,4,3,3.5,3.5,3.25
"13",248896066,2024-05-07 10:37:30,2024-05-07 11:17:08,1899-12-31 00:39:38,2,1,44,1,2,5,4,3,6,3,4,4,3,4,3,2,2,2,8,2,2,3,4,3,3,4,3,3,3,3,4,2,3,4,3,3.33333333333333,3.25,3
"14",248896234,2024-05-07 10:46:11,2024-05-07 11:22:16,1899-12-31 00:36:05,1,1,46,1,2,14,4,3,6,3,3,2,3,2,4,2,1,3,9,2,1,2,3,3,4,2,2,3,2,3,2,3,3,4,3,2.66666666666667,2.5,3.25
"15",248896316,2024-05-07 09:22:02,2024-05-07 10:00:05,1899-12-31 00:38:03,2,2,40,1,2,16,4,6,7,4,2,3,3,2,2,2,2,3,9,1,2,3,2,3,3,2,2,3,4,2,3,3,2,4,3,2.5,3,3
"16",248896493,2024-05-07 10:02:04,2024-05-07 10:31:28,1899-12-31 00:29:24,2,2,37,1,2,24,4,1,7,3,4,3,2,3,2,3,3,2,10,1,1,1,2,1,1,1,3,1,3,2,1,4,4,3,4,1.5,1.75,3.75
"17",248896674,2024-05-07 13:24:36,2024-05-07 14:03:22,1899-12-31 00:38:46,1,2,45,1,2,19,4,3,6,3,4,4,3,2,4,2,1,3,8,3,1,3,3,4,3,2,4,3,4,3,3,4,3,4,3,3.16666666666667,3.25,3.5
"18",248896910,2024-05-07 10:20:20,2024-05-07 10:46:51,1899-12-31 00:26:31,2,2,54,1,2,14,4,6,5,4,4,3,2,2,3,2,2,2,10,1,1,3,4,4,1,1,1,1,2,2,1,4,4,4,4,2.33333333333333,1.5,4
"19",248896932,2024-05-07 09:10:58,2024-05-07 09:50:50,1899-12-31 00:39:52,2,1,34,1,2,20,4,2,7,4,3,4,3,1,3,2,1,3,10,2,1,1,2,1,2,1,2,4,3,4,3,4,3,4,3,1.5,3.5,3.5
"20",248897123,2024-05-07 10:11:01,2024-05-07 10:42:42,1899-12-31 00:31:41,2,2,43,1,2,19,4,2,7,3,4,3,1,2,3,3,4,2,3,2,2,3,4,3,4,3,3,2,3,2,1,3,4,2,4,3.33333333333333,2,3.25
